cluster_ordinal,n_members,mean_r,tier,folder
1,27,0.94,Tier1_Strong,Subclass_01_n27_r0.94
2,22,0.9417,Tier1_Strong,Subclass_02_n22_r0.94
3,4,0.9996,Tier2_Moderate,Subclass_03_n4_r1.00
4,1,,Tier3_Singletons,Tier3_Singletons
5,1,,Tier3_Singletons,Tier3_Singletons
