cluster_ordinal,n_members,mean_r,tier,folder
1,2,0.9958,Tier2_Moderate,Subclass_01_n2_r1.00
2,1,,Tier3_Singletons,Tier3_Singletons
3,1,,Tier3_Singletons,Tier3_Singletons
