file,reason,source
14_ethylene_propylene_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\EPR\14_ethylene_propylene_002_bs+sm.parquet
14_ethylene_propylene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\EPR\14_ethylene_propylene_bs+sm.parquet
15_ethylene_propylene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\EPR\15_ethylene_propylene_bs+sm.parquet
16_ethylene_propylene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\EPR\16_ethylene_propylene_bs+sm.parquet
