file,reason,source
11_1_2_polybutadiene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\BR\11_1_2_polybutadiene_bs+sm.parquet
15_1_2_polybutadiene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\BR\15_1_2_polybutadiene_bs+sm.parquet
6_1_2_polybutadiene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\BR\6_1_2_polybutadiene_bs+sm.parquet
8_1_2_polybutadiene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\BR\8_1_2_polybutadiene_bs+sm.parquet
9_1_2_polybutadiene_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\BR\9_1_2_polybutadiene_002_bs+sm.parquet
9_1_2_polybutadiene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\BR\9_1_2_polybutadiene_bs+sm.parquet
