cluster_ordinal,n_members,mean_r,tier,folder
1,2,0.9851,Tier2_Moderate,Subclass_01_n2_r0.99
2,2,0.9817,Tier2_Moderate,Subclass_02_n2_r0.98
3,1,,Tier3_Singletons,Tier3_Singletons
