file,reason,source
10_rubber_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PA\10_rubber_bs+sm.parquet
11_pa6_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PA\11_pa6_bs+sm.parquet
11_plastic_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PA\11_plastic_bs+sm.parquet
6_aramid_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PA\6_aramid_bs+sm.parquet
8_aramid_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PA\8_aramid_bs+sm.parquet
