file,reason,source
15_poly_p_phenylene_ether_sulphone_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\15_poly_p_phenylene_ether_sulphone_bs+sm.parquet
17_poly_p_phenylene_ether_sulphone_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\17_poly_p_phenylene_ether_sulphone_002_bs+sm.parquet
2_polyphenylsulfone_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\2_polyphenylsulfone_002_bs+sm.parquet
2_polyphenylsulfone_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\2_polyphenylsulfone_bs+sm.parquet
4_polysulfone_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\4_polysulfone_002_bs+sm.parquet
6_polyphenylsulfone_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\6_polyphenylsulfone_bs+sm.parquet
9_polyphenylsulfone_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PES\9_polyphenylsulfone_002_bs+sm.parquet
