file,reason,source
11_polyvinylpyrrolidone_k90_sigma-aldrich_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVP\11_polyvinylpyrrolidone_k90_sigma-aldrich_bs+sm.parquet
12_polyvinylpyrrolidone_bdh_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVP\12_polyvinylpyrrolidone_bdh_bs+sm.parquet
