file,reason,source
7_styrene_isoprene_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\SIS\7_styrene_isoprene_002_bs+sm.parquet
7_styrene_isoprene_003_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\SIS\7_styrene_isoprene_003_bs+sm.parquet
7_styrene_isoprene_004_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\SIS\7_styrene_isoprene_004_bs+sm.parquet
7_styrene_isoprene_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\SIS\7_styrene_isoprene_bs+sm.parquet
