file,reason,source
5_poly_vinyl_alcohol_99pr_hydrolyzed_aldrich_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\5_poly_vinyl_alcohol_99pr_hydrolyzed_aldrich_bs+sm.parquet
7_poly_vinyl_alcohol_98pr_hydrolyzed_aldrich_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\7_poly_vinyl_alcohol_98pr_hydrolyzed_aldrich_bs+sm.parquet
8_varnish_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\8_varnish_002_bs+sm.parquet
8_varnish_003_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\8_varnish_003_bs+sm.parquet
8_varnish_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\8_varnish_bs+sm.parquet
9_poly_vinyl_alcohol_87-89pr_hydrolyzed_higher_weight_aldrich_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\9_poly_vinyl_alcohol_87-89pr_hydrolyzed_higher_weight_aldrich_bs+sm.parquet
9_varnish_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PVOH\9_varnish_bs+sm.parquet
