file,reason,source
2_fibre_polyetheretherketone_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PEEK\2_fibre_polyetheretherketone_bs+sm.parquet
2_flourkautschuk_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PEEK\2_flourkautschuk_bs+sm.parquet
3_fibre_polyetheretherketone_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PEEK\3_fibre_polyetheretherketone_bs+sm.parquet
3_peek_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PEEK\3_peek_bs+sm.parquet
4_fibre_polyetheretherketone_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\PEEK\4_fibre_polyetheretherketone_bs+sm.parquet
