file,reason,source
20_rubber_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\POLYESTER_MIXED\20_rubber_bs+sm.parquet
3_pes_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\POLYESTER_MIXED\3_pes_bs+sm.parquet
3_polyethylene_oxide_higher_weight_aldrich_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\POLYESTER_MIXED\3_polyethylene_oxide_higher_weight_aldrich_bs+sm.parquet
3_polyethylene_oxide_lower_weight_aldrich_bs+sm.parquet,Unmeasurable,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\POLYESTER_MIXED\3_polyethylene_oxide_lower_weight_aldrich_bs+sm.parquet
5_pest_002_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\POLYESTER_MIXED\5_pest_002_bs+sm.parquet
9_other_plastic_bs+sm.parquet,Low_SNR,C:\Users\alqrifym-admin\Desktop\RamanAnalyzer_Fat\All Ref\RAW\ALL_GROUPED4_FINAL_SMOOTHED3\POLYESTER_MIXED\9_other_plastic_bs+sm.parquet
